#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
JAACYN010015035.1	1	4728	1688	4728	100	35.5396	34.2	59.8
JAACYN010015161.1	1	6385	2492	6377	99.8747	38.8857	34.3	53.4
JAACYN010015374.1	1	2112	832	2112	100	38.1487	34.1	43.6
JAACYN010015389.1	1	5493	1877	5493	100	34.061	34.3	44.4
MU018151.1	1	1836	28	212	11.5468	0.234749	34.5	17.2
MU018152.1	1	1413	304	1265	89.5258	12.9554	33	42.3
MU018153.1	1	1146	1351	1048	91.4485	87.9101	34.1	36.3
JAACYN010015762.1	1	739	117	739	100	14.6725	32.3	44.8
MU018154.1	1	1521	19	584	38.3958	0.892834	33	49.7
MU018155.1	1	1865	152	1250	67.0241	6.60054	33	48.5
JAACYN010015924.1	1	715	52	708	99.021	4.98322	32.9	33.9
MU018156.1	1	2042	274	1885	92.3115	13.2997	34.3	23.2
JAACYN010015963.1	1	654	2	73	11.1621	0.330275	36.2	60
JAACYN010015982.1	1	1716	551	1716	100	31.0693	34.2	60
JAACYN010015989.1	1	906	65	853	94.1501	5.81567	33.1	50.2
MU018157.1	1	1827	162	618	33.8259	8.79037	33.9	3.03
JAACYN010016075.1	1	1368	17	300	21.9298	1.00585	33.1	10.8
JAACYN010016096.1	1	651	26	235	36.0983	2.5745	33.1	49.3
JAACYN010016098.1	1	704	502	612	86.9318	64.8068	33.2	14.9
JAACYN010016202.1	1	2809	1086	2809	100	38.6258	34.2	58.5
MU018158.1	1	5064	1617	4971	98.1635	30.9785	34.2	54.8
JAACYN010016421.1	1	3975	1529	3975	100	37.9635	34.4	59.7
JAACYN010016425.1	1	1848	652	1837	99.4048	34.9702	34.4	59.9
JAACYN010016426.1	1	2740	1043	2740	100	38.3073	34.3	59.2
JAACYN010016451.1	1	1323	15	518	39.1534	0.595616	33.3	16.3
JAACYN010016473.1	1	3160	491	3096	97.9747	15.1987	33.3	20
JAACYN010016474.1	1	2149	849	2140	99.5812	38.551	34.3	59.9
JAACYN010016477.1	1	2156	736	2156	100	32.4105	34.2	59.3
JAACYN010016484.1	1	1067	824	1067	100	78.5436	34.4	59.8
JAACYN010016485.1	1	2953	973	2953	100	32.702	34.3	59.5
JAACYN010016498.1	1	4389	1704	4389	100	38.5928	34.5	59.7
JAACYN010016519.1	1	1800	684	1800	100	36.8433	33.9	58.1
JAACYN010016594.1	1	3463	1398	3463	100	40.3595	34.4	59.9
JAACYN010016601.1	1	1281	61	694	54.1764	2.41452	32.7	60
JAACYN010016651.1	1	1130	359	1128	99.823	32.7673	34.3	59.9
JAACYN010016652.1	1	1098	290	1098	100	26.0419	34.5	58.9
JAACYN010016730.1	1	1035	113	972	93.913	10.8145	33.3	59.5
JAACYN010016747.1	1	1150	373	1118	97.2174	23.393	32.9	34.8
JAACYN010016757.1	1	2638	884	2638	100	33.1281	34.3	58.8
JAACYN010016761.1	1	2918	1003	2918	100	34.3263	34.5	58.8
JAACYN010016767.1	1	4214	1567	4214	100	36.7373	34.3	59.3
JAACYN010016821.1	1	2303	896	2303	100	38.8684	34.5	59.8
JAACYN010016825.1	1	8386	2922	8351	99.5826	34.8259	34.3	59.6
JAACYN010016833.1	1	1135	40	930	81.9383	3.36476	33.5	34.2
JAACYN010016851.1	1	2770	923	2765	99.8195	32.5545	34.4	58
JAACYN010016906.1	1	6977	2650	6977	100	37.9226	34.1	59.6
JAACYN010016912.1	1	1132	8	250	22.0848	0.39576	35.6	15
JAACYN010016928.1	1	6231	2204	6231	100	35.109	34.3	59.9
JAACYN010016930.1	1	8549	2865	8549	100	33.4198	34.4	59.8
JAACYN010017081.1	1	1173	547	1171	99.8295	45.4766	32.9	44.6
JAACYN010017106.1	1	1323	6	238	17.9894	0.386999	34.6	2.5
JAACYN010017215.1	1	1496	964	1476	98.6631	62.9566	34	6.16
MU018159.1	1	1531	469	1366	89.2227	30.3658	33.9	49.8
JAACYN010017587.1	1	1080	287	1080	100	25.4481	34	35.7
MU018160.1	1	1035	18	592	57.1981	1.41159	33.2	42.2
JAACYN010017687.1	1	1749	316	1731	98.9708	17.785	33.3	59.3
JAACYN010017799.1	1	7576	2832	7576	100	37.3481	34.4	59.8
JAACYN010017813.1	1	1171	37	370	31.5969	2.193	34.2	1.65
JAACYN010017843.1	1	9121	3165	9030	99.0023	34.4342	34.1	55.5
MU018161.1	1	1184	29	664	56.0811	1.05405	32.8	31
MU018162.1	1	2843	495	2670	93.9149	16.8027	33.3	50.7
MU018163.1	1	1595	41	853	53.4796	1.86834	33.2	36
MU018164.1	1	1223	1314	1127	92.1504	105.558	34.2	53.9
JAACYN010018138.1	1	3106	916	3106	100	29.1748	34.4	58.3
JAACYN010018142.1	1	9942	1634	9937	99.9497	16.3202	34.3	7.28
JAACYN010018212.1	1	8458	3148	8446	99.8581	36.7998	34.1	48.1
JAACYN010018302.1	1	5908	2314	5908	100	38.7422	34.2	59
JAACYN010018318.1	1	2811	1043	2811	100	36.2494	34.2	59.4
JAACYN010018342.1	1	1390	461	1388	99.8561	34.3309	34.1	57
JAACYN010018355.1	1	2034	412	1837	90.3147	19.4617	33.8	59.8
JAACYN010018394.1	1	3011	1142	2995	99.4686	38.1431	34.2	59.7
JAACYN010018395.1	1	6207	2215	6206	99.9839	34.4053	34.3	58.8
JAACYN010018424.1	1	1607	855	1607	100	52.3759	34	55.9
JAACYN010018433.1	1	2977	2293	2953	99.1938	71.6003	33.8	37.9
JAACYN010018592.1	1	2802	1062	2802	100	37.9415	34.3	58.8
JAACYN010018613.1	1	11093	4166	11084	99.9189	37.3631	34.3	59.7
JAACYN010018624.1	1	3552	1277	3552	100	34.7413	34	57.9
JAACYN010018685.1	1	7434	2835	7430	99.9462	37.9884	34.4	59.6
JAACYN010018697.1	1	4114	1392	4077	99.1006	33.0695	34.2	59.6
JAACYN010018702.1	1	8139	3134	8131	99.9017	38.6348	34.4	59.8
JAACYN010018772.1	1	2313	3575	2308	99.7838	153.666	34	48.1
JAACYN010018844.1	1	2731	5267	2730	99.9634	190.096	34	30.6
JAACYN010018871.1	1	1361	2129	1355	99.5591	155.104	34.1	1.26
JAACYN010018964.1	1	3588	1356	3588	100	37.3319	34.2	59.1
MU018165.1	1	4431	1483	4399	99.2778	33.4292	34.1	59.8
MU018166.1	1	9763	3749	9740	99.7644	38.1011	34.3	58.7
MU018167.1	1	1155	68	962	83.29	4.88658	33.2	51.6
JAACYN010019119.1	1	2752	563	2752	100	19.8688	33.2	59.8
JAACYN010019220.1	1	8620	3258	8607	99.8492	37.539	34.2	56.5
JAACYN010019228.1	1	13157	5053	13153	99.9696	38.3272	34.3	58.6
MU018168.1	1	4176	1464	4077	97.6293	34.1331	34.5	54.1
MU018169.1	1	3593	1108	3583	99.7217	30.6621	34.3	59.4
MU018170.1	1	9030	3285	8935	98.948	36.2563	34.3	59.1
JAACYN010019502.1	1	4371	101	2695	61.6564	1.44887	34.5	20.8
JAACYN010019566.1	1	3656	1306	3656	100	35.8039	34.3	59.8
JAACYN010019569.1	1	3557	1379	3557	100	38.0981	34.4	59.7
JAACYN010019579.1	1	1958	722	1957	99.9489	36.7043	34.1	54.3
JAACYN010019606.1	1	6552	2742	6552	100	41.8903	34.4	51.6
JAACYN010019659.1	1	1403	123	898	64.0057	3.19815	33.2	36.1
JAACYN010019661.1	1	16920	6362	16889	99.8168	37.4415	34.3	59.1
JAACYN010019748.1	1	1821	686	1821	100	37.441	34.4	59.5
JAACYN010019755.1	1	3140	1145	3140	100	36.3067	34.4	59.4
JAACYN010019759.1	1	2698	1734	2694	99.8517	62.3213	34.2	7.55
JAACYN010019765.1	1	9246	3487	9246	100	37.7735	34.3	60
JAACYN010019781.1	1	2561	839	2515	98.2038	32.1554	34.4	59.7
JAACYN010019783.1	1	3584	1298	3582	99.9442	36.3912	34.4	59.9
JAACYN010019804.1	1	7151	2441	7150	99.986	33.9711	34.4	41.5
JAACYN010019810.1	1	5101	859	5084	99.6667	16.6699	33.9	7.47
JAACYN010019898.1	1	6150	2219	6139	99.8211	35.4995	34.3	58
JAACYN010019905.1	1	8344	2902	8338	99.9281	34.6703	34.3	58.3
JAACYN010019924.1	1	1225	181	1222	99.7551	13.8645	34.6	16.2
JAACYN010019947.1	1	1244	437	1244	100	32.9027	34.1	59.5
JAACYN010019964.1	1	3425	714	3336	97.4015	21.0272	33.2	59.7
MU018171.1	1	6371	2088	6274	98.4775	32.6806	34.5	59.3
JAACYN010020222.1	1	6518	2283	6479	99.4017	34.913	34.3	59.8
JAACYN010020241.1	1	1763	229	1668	94.6115	11.2728	32.7	52.4
JAACYN010020348.1	1	7370	2359	7352	99.7558	32.0715	34.2	59.7
JAACYN010020443.1	1	1404	13	686	48.8604	0.902422	32.8	14.2
JAACYN010020458.1	1	3326	1276	3326	100	38.1518	34.3	59.8
JAACYN010020460.1	1	3575	1236	3537	98.9371	34.3192	34.2	59.6
JAACYN010020492.1	1	8855	3183	8851	99.9548	35.44	34.1	59.3
JAACYN010020495.1	1	10294	4003	10291	99.9709	38.8819	34.3	57.7
JAACYN010020523.1	1	7507	3172	7507	100	42.1293	34.3	59.7
JAACYN010020537.1	1	8997	3324	8997	100	36.8919	34.3	59.9
MU018172.1	1	3231	355	2972	91.9839	10.8493	34.4	9
JAACYN010020561.1	1	6402	2397	6402	100	37.3797	34.4	59.9
JAACYN010020578.1	1	27729	5541	27676	99.8089	19.822	34.4	0.206
MU018173.1	1	17692	5873	17595	99.4517	32.9344	34.2	59
JAACYN010020642.1	1	5269	2098	5269	100	39.8336	34.3	52.2
MU018174.1	1	19732	7294	19633	99.4983	36.8226	34.3	59.4
JAACYN010020671.1	1	4612	1665	4558	98.8291	35.8523	34.1	41.6
JAACYN010020674.1	1	3547	534	3543	99.8872	15.1373	34.4	2.1
MU018175.1	1	7972	2683	7775	97.5289	33.5529	34.1	58.7
JAACYN010020779.1	1	24373	4208	24240	99.4543	17.1528	34.3	0.293
JAACYN010020783.1	1	4820	1821	4820	100	37.2963	34.3	58.9
JAACYN010020811.1	1	7507	3020	7507	100	40.1713	34.3	58.8
MU018176.1	1	22938	7906	22806	99.4245	34.2955	34.3	59.9
JAACYN010020823.1	1	4279	1816	4279	100	42.1059	34.2	59.7
JAACYN010020825.1	1	6447	2110	6447	100	32.7493	34.2	58.8
JAACYN010020828.1	1	3422	1169	3422	100	34.1052	34.2	52.9
JAACYN010020900.1	1	6261	2114	6261	100	33.5208	34.3	55.1
JAACYN010020902.1	1	8003	2954	8002	99.9875	36.6739	34.4	59.7
JAACYN010020911.1	1	9254	3417	9254	100	36.9232	34.2	59.9
JAACYN010020914.1	1	3200	562	3181	99.4062	17.3075	34.6	4.01
JAACYN010020915.1	1	3069	1133	3069	100	36.911	34.2	59.4
JAACYN010020925.1	1	8004	3168	8004	100	39.1629	34.1	58.4
JAACYN010020949.1	1	7098	2840	7098	100	40.0533	34.3	59.9
JAACYN010020996.1	1	3000	402	2973	99.1	13.338	34	2.03
MU018177.1	1	6582	2305	6565	99.7417	34.0813	34.2	57.4
MU018178.1	1	3462	3309	3454	99.7689	93.4674	34.2	57.3
MU018179.1	1	7789	2630	7679	98.5878	33.4582	34.2	59.3
MU018180.1	1	13529	4956	13520	99.9335	36.5173	34.3	59.7
JAACYN010021198.1	1	9591	4130	9591	100	42.9391	34.2	43.6
JAACYN010021226.1	1	3874	619	3581	92.4368	15.8214	33.9	0.46
JAACYN010021227.1	1	9347	3155	9347	100	33.6497	34.3	59.6
JAACYN010021245.1	1	9627	3567	9627	100	36.939	34.4	59.8
JAACYN010021272.1	1	10124	3409	10124	100	33.4867	33.7	59.3
JAACYN010021358.1	1	5069	3647	5069	100	71.5492	34.3	59.6
JAACYN010021395.1	1	8015	2141	7772	96.9682	26.3337	33.7	59.7
JAACYN010021411.1	1	16671	6540	16648	99.862	39.1009	34.3	59.1
JAACYN010021413.1	1	5832	2119	5832	100	36.269	34.3	59.9
JAACYN010021463.1	1	7418	2661	7418	100	35.7649	34.2	59.8
JAACYN010021469.1	1	6210	2135	6210	100	34.3148	34.3	59.7
MU018181.1	1	15051	5992	14946	99.3024	39.6354	34.2	48
JAACYN010021573.1	1	22979	8390	22858	99.4734	36.3496	34.3	57.4
MU018182.1	1	7987	2288	7856	98.3598	28.3651	34.3	58
JAACYN010021592.1	1	7237	2637	7237	100	36.456	34.2	56.8
JAACYN010021606.1	1	9587	1899	9386	97.9034	19.6313	33.5	59.8
JAACYN010021611.1	1	6044	1649	6044	100	27.0956	34.2	23.2
JAACYN010021616.1	1	7329	2658	7329	100	36.2354	34.3	57.9
MU018183.1	1	8142	963	7975	97.9489	11.7986	34.4	1
JAACYN010021637.1	1	14406	5219	14403	99.9792	36.1404	34.3	59.7
JAACYN010021669.1	1	2656	136	1319	49.6611	4.57154	33.9	2.06
JAACYN010021672.1	1	5617	596	5597	99.6439	10.6804	34.2	3.41
JAACYN010021698.1	1	3613	1754	3612	99.9723	48.2873	34	19.9
MU018184.1	1	7359	2632	7349	99.8641	35.644	34.3	59.3
MU018185.1	1	4983	1904	4924	98.816	37.0799	34.4	59.4
JAACYN010021747.1	1	7426	2880	7426	100	38.8435	34.4	56.4
MU018186.1	1	3622	3283	3597	99.3098	88.7209	33.9	7.4
JAACYN010021771.1	1	4969	1851	4969	100	35.8531	34.2	59
JAACYN010021781.1	1	10695	4317	10695	100	39.9918	34.1	58.2
MU018187.1	1	6996	2370	6898	98.5992	33.7301	34.2	59.6
JAACYN010021810.1	1	15760	5903	15661	99.3718	37.2543	34.3	59.6
JAACYN010021821.1	1	10911	4129	10911	100	37.4034	34.3	59.3
JAACYN010021881.1	1	1319	413	1319	100	31.3146	34.5	59.5
JAACYN010021893.1	1	6591	2241	6591	100	33.6507	34.1	54.4
JAACYN010021908.1	1	5630	1960	5630	100	34.3565	34.2	57.8
JAACYN010021937.1	1	3686	4381	3686	100	118.231	34	35.7
MU018188.1	1	6606	2078	6604	99.9697	31.1179	34.2	55.1
JAACYN010021997.1	1	6103	1165	6029	98.7875	18.9769	34.2	31.1
JAACYN010022046.1	1	10661	4350	10661	100	40.771	34.3	55.5
JAACYN010022085.1	1	3703	455	3136	84.6881	8.17661	32.8	46.2
JAACYN010022102.1	1	3608	1470	3608	100	40.4595	34.3	60
JAACYN010022105.1	1	12518	4345	12489	99.7683	34.5949	34.2	55.6
JAACYN010022107.1	1	4593	660	4513	98.2582	13.5476	33.8	11
MU018189.1	1	8835	3467	8817	99.7963	39.1065	34.4	59.9
JAACYN010022165.1	1	7124	2523	7122	99.9719	35.0368	34.2	51.8
JAACYN010022221.1	1	3660	928	3660	100	24.9057	33.7	58.1
JAACYN010022237.1	1	7256	2604	7256	100	35.8117	34.4	59.1
JAACYN010022241.1	1	15915	3526	15886	99.8178	22.1027	34.2	4.65
MU018190.1	1	1805	45	1048	58.0609	1.71745	34.4	14.7
JAACYN010022264.1	1	5722	2048	5722	100	35.7985	34.3	59.9
JAACYN010022265.1	1	10307	5343	10307	100	51.0392	34.2	59
JAACYN010022372.1	1	3599	7	82	2.27841	0.0816894	31.9	1.29
JAACYN010022376.1	1	4339	541	4336	99.9309	12.4121	34.1	0
JAACYN010022381.1	1	11983	4509	11977	99.9499	37.536	34.3	53.8
JAACYN010022389.1	1	13828	4868	13828	100	34.9877	34.3	59.6
JAACYN010022395.1	1	14199	5650	14198	99.993	39.6198	34.3	54.4
JAACYN010022403.1	1	3986	475	3779	94.8068	11.7333	33	59.6
MU018191.1	1	8215	13727	8199	99.8052	160.663	34	57.3
JAACYN010022521.1	1	7823	2840	7813	99.8722	36.0398	34.2	47.3
JAACYN010022572.1	1	7009	2301	6916	98.6731	32.3755	34.2	54.9
JAACYN010022615.1	1	4586	1346	4582	99.9128	28.9749	34.3	40.5
JAACYN010022637.1	1	8902	3481	8902	100	39.0749	34.2	59.8
JAACYN010022683.1	1	6168	2294	6168	100	37.1102	34.3	44.2
MU018192.1	1	15104	5549	15006	99.3512	36.4454	34.3	59.8
JAACYN010022691.1	1	9744	3579	9744	100	36.6897	34.3	59.9
JAACYN010022695.1	1	4608	654	4575	99.2839	13.9596	34.2	5.19
JAACYN010022709.1	1	11930	4315	11930	100	35.6984	34.3	58.7
MU018193.1	1	17674	3602	17634	99.7737	19.7331	34.3	16.1
JAACYN010022779.1	1	1650	2513	1650	100	153.459	34	59.8
JAACYN010022824.1	1	8382	3037	8374	99.9046	35.9223	34.1	58.1
JAACYN010022838.1	1	8494	3077	8494	100	36.0934	34.2	59.8
JAACYN010022844.1	1	9496	3224	9487	99.9052	33.8589	34.2	55
JAACYN010022871.1	1	3102	1374	3102	100	43.57	33.7	42.8
JAACYN010022889.1	1	10433	3986	10433	100	35.4349	34.3	58.5
JAACYN010022893.1	1	1402	6161	1402	100	443.494	34.2	59.3
JAACYN010022905.1	1	4391	2776	4391	100	63.1512	34.3	59.7
JAACYN010022915.1	1	15698	2236	15220	96.955	14.1583	34	9.68
JAACYN010023004.1	1	7991	1216	7969	99.7247	14.9094	34.3	3.24
JAACYN010023031.1	1	8545	3040	8545	100	35.6434	34.4	59.8
JAACYN010023168.1	1	9292	3394	9289	99.9677	36.3984	34.2	45.2
JAACYN010023177.1	1	10991	4102	10987	99.9636	37.0905	34.3	58.7
JAACYN010023197.1	1	6425	3143	6425	100	48.7177	34.2	52
JAACYN010023259.1	1	45413	6784	45211	99.5552	14.8601	34.3	5.68
JAACYN010023360.1	1	3804	601	3711	97.5552	15.6023	33.2	59.5
JAACYN010023380.1	1	5901	2226	5901	100	37.4865	34.2	54.3
MU018194.1	1	27615	9369	27475	99.493	33.3645	34.2	57
JAACYN010023394.1	1	2028	3128	2028	100	151.135	33.6	59.5
MU018195.1	1	3801	416	3413	89.7922	8.47935	33.1	57.2
JAACYN010023428.1	1	17745	6465	17745	100	36.3829	34.3	59.9
MU018196.1	1	9897	3096	9793	98.9492	30.1441	34.2	59
JAACYN010023712.1	1	1708	737	1708	100	44.2149	33.1	58.9
MU018197.1	1	62416	19538	61983	99.3063	31.1388	33.9	48.7
JAACYN010023821.1	1	35202	10556	35195	99.9801	29.8926	33.7	59.8
JAACYN010023822.1	1	25724	9160	25718	99.9767	35.5009	34.2	54.7
JAACYN010023868.1	1	7574	1356	7412	97.8611	17.7976	33.1	59.8
MU018198.1	1	23356	6757	22983	98.403	28.6614	33.8	59.6
JAACYN010025253.1	1	17525	6278	17524	99.9943	35.5756	34.2	58.8
JAACYN010025263.1	1	1311	903	1311	100	69.2212	33.8	38.9
JAACYN010025264.1	1	79634	29584	79634	100	37.0425	34.3	59.9
JAACYN010025886.1	1	9161	3130	9090	99.225	33.7474	34.3	59.6
MU018199.1	1	19956	6697	19856	99.4989	33.2869	34.2	56
MU018200.1	1	19890	7313	19881	99.9548	36.6674	34.3	57.5
MU018201.1	1	20886	7316	20747	99.3345	34.9116	34.3	57.5
MU018202.1	1	27095	4297	24996	92.2532	15.759	34.3	0.348
MU018203.1	1	26057	4479	24931	95.6787	17.1263	34.3	1.94
MU018204.1	1	4575	638	4259	93.0929	13.8061	34.4	0.0831
MU018205.1	1	4573	782	4269	93.3523	16.9414	34.3	2.98
JAACYN010026126.1	1	9528	1645	9487	99.5697	17.1057	34.2	0
JAACYN010026127.1	1	9527	1690	9527	100	17.6068	34.3	0.351
JAACYN010026145.1	1	1437	1539	1434	99.7912	106.328	33.8	3.19
JAACYN010026153.1	1	16625	5992	16625	100	35.7366	34.2	58.3
JAACYN010026182.1	1	7576	2844	7576	100	37.5557	34.3	57.6
JAACYN010026186.1	1	3629	834	3629	100	19.3017	34.3	2.61
JAACYN010026187.1	1	1852	377	1813	97.8942	22.1388	34.3	0.361
JAACYN010026188.1	1	3630	817	3630	100	19.6515	34.3	2.38
JAACYN010026189.1	1	1851	358	1851	100	20.7985	34.2	1.56
JAACYN010026239.1	1	1680	423	1679	99.9405	24.9738	34	0
JAACYN010026343.1	1	12129	1807	11935	98.4005	14.8499	34.4	0.00332
JAACYN010026344.1	1	1985	240	1958	98.6398	12.204	34.2	0.333
JAACYN010026362.1	1	3831	712	3807	99.3735	18.3028	34.5	0
JAACYN010026409.1	1	1425	1043	1424	99.9298	72.6526	33.8	0.74
JAACYN010026417.1	1	1425	991	1425	100	69.273	33.9	2.11
JAACYN010026436.1	1	1982	422	1982	100	20.8401	34.3	7.88
JAACYN010026446.1	1	1691	352	1691	100	20.3684	34.2	3.25
JAACYN010026481.1	1	1691	334	1691	100	19.887	34.5	0.0449
MU018206.1	1	8787	1224	8684	98.8278	13.646	34.4	0.925
JAACYN010026555.1	1	2790	1098	2790	100	39.4595	34.2	59.1
JAACYN010026562.1	1	6895	1701	6882	99.8115	24.5526	34.2	23.7
JAACYN010026570.1	1	6889	1020	6561	95.2388	14.6841	34.2	8.08
JAACYN010026600.1	1	3915	765	3915	100	19.4128	34.1	10.2
JAACYN010026601.1	1	4105	941	4105	100	22.877	34.4	16.6
MU018207.1	1	14957	2484	14714	98.3753	16.5341	34.2	0
JAACYN010026614.1	1	28359	5459	28287	99.7461	19.1963	34.3	0.0522
JAACYN010026618.1	1	7177	2921	7177	100	40.066	34.2	59.8
JAACYN010026619.1	1	1973	812	1973	100	42.3776	34.2	57
JAACYN010026621.1	1	5871	1225	5871	100	20.673	34.4	3.96
JAACYN010026623.1	1	1429	440	1429	100	31.1155	34.4	54.2
JAACYN010026641.1	1	12454	2078	12281	98.6109	16.6337	34.2	1.46
JAACYN010026663.1	1	5872	1109	5858	99.7616	18.7388	34.3	0.0757
JAACYN010026679.1	1	3916	529	3827	97.7273	13.4793	34.2	0.0567
JAACYN010026680.1	1	4099	494	4036	98.463	11.9427	34.3	0.14
JAACYN010026700.1	1	28359	5573	28306	99.8131	19.5711	34.3	0.255
JAACYN010026744.1	1	23815	5702	23815	100	23.8564	34.1	0.632
JAACYN010026746.1	1	23814	5688	23814	100	23.8036	34.1	0.776
JAACYN010026762.1	1	1553	219	1543	99.3561	14.217	34.3	0
JAACYN010026763.1	1	1652	153	1590	96.247	8.94007	34.5	0
JAACYN010026764.1	1	1652	123	1603	97.0339	7.00787	34	0
JAACYN010026765.1	1	1651	175	1651	100	10.2508	34.4	0
JAACYN010026766.1	1	1651	167	1651	100	10.3446	34.3	0
JAACYN010026771.1	1	5265	540	5189	98.5565	10.1601	34.4	1.03
JAACYN010026772.1	1	5268	566	5174	98.2156	10.7181	34.3	3.07
JAACYN010026773.1	1	23476	2585	23249	99.0331	10.9522	34.3	1.48
JAACYN010026774.1	1	23483	2918	23402	99.6551	12.3583	34.3	5.01
JAACYN010026775.1	1	1081	72	1022	94.5421	6.55412	34.7	0
JAACYN010026776.1	1	1081	129	1081	100	11.4607	34.1	4.52
JAACYN010026782.1	1	12490	4484	12485	99.96	35.7484	34	52.8
JAACYN010026783.1	1	5609	1145	5609	100	20.3206	34.2	18.3
JAACYN010026785.1	1	5608	1112	5608	100	19.7354	34.1	17.5
JAACYN010026802.1	1	12125	2947	12121	99.967	24.2443	34.3	11.2
MU018208.1	1	8786	1204	8672	98.7025	13.6131	34.3	1.67
JAACYN010026824.1	1	1553	562	1553	100	22.3258	34.3	25.3
JAACYN010026835.1	1	2406	6215	2406	100	253.584	34.5	59.9
JAACYN010026836.1	1	34229	11981	34226	99.9912	34.7939	34.3	9.63
JAACYN010026837.1	1	34214	10712	34211	99.9912	31.0832	34.3	6.34
JAACYN010026838.1	1	9511	5876	9511	100	61.3199	34.2	11.6
JAACYN010026839.1	1	9555	4887	9540	99.843	50.9667	34.2	7.41
JAACYN010026845.1	1	3811	897	3801	99.7376	23.4332	34.2	15.7
JAACYN010026853.1	1	6108	728	6072	99.4106	11.7654	34.3	0
JAACYN010026863.1	1	4128	653	4117	99.7335	15.4821	34.4	0.75
JAACYN010026875.1	1	32019	4546	31196	97.4297	14.1012	33.4	19.4
JAACYN010026876.1	1	9730	1116	9688	99.5683	11.5084	33.3	23
JAACYN010026877.1	1	9760	1270	9508	97.418	12.8154	33.3	24.7
JAACYN010026878.1	1	31995	4635	31761	99.2686	14.4268	33.5	20.8
JAACYN010026880.1	1	10762	2194	10516	97.7142	20.1552	34.1	2.95
JAACYN010026892.1	1	1151	365	1149	99.8262	31.907	34.3	59.3
JAACYN010026893.1	1	10764	2733	10730	99.6841	25.1775	34.1	9.64
JAACYN010026914.1	1	3797	803	3797	100	21.0408	34.2	16
JAACYN010026923.1	1	4128	776	4128	100	18.672	34.4	3.03
MU018209.1	1	1905	2689	1800	94.4882	140.113	34.3	0.257
JAACYN010026971.1	1	1062	3252	1061	99.9058	305.287	34.5	0.0249
JAACYN010026981.1	1	9623	2148	9612	99.8857	22.2292	34.3	9.53
JAACYN010026982.1	1	9632	1749	9609	99.7612	18.0405	34.2	0.649
JAACYN010026983.1	1	1338	290	1336	99.8505	21.5381	34.2	14
JAACYN010026984.1	1	3496	586	3492	99.8856	16.7142	34	1
JAACYN010026985.1	1	1338	144	1292	96.562	10.6599	34.5	0
JAACYN010026986.1	1	3493	594	3453	98.8549	16.935	34	0.694
JAACYN010026994.1	1	7997	1066	7939	99.2747	13.2623	34.4	1.13
MU018210.1	1	15851	3023	15635	98.6373	18.8497	34.2	6
JAACYN010027000.1	1	6277	1011	6277	100	15.9753	34.1	2.78
JAACYN010027001.1	1	9866	1912	9866	100	19.3231	34.3	4.4
JAACYN010027015.1	1	27884	5461	27856	99.8996	19.4982	34.4	0.188
JAACYN010027016.1	1	27889	5220	27883	99.9785	18.6716	34.3	0.0979
